,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
327,Muroto-misakicho,98,JP,1622315071,72,33.2833,134.15,68.49,10.25
328,Sabzawār,0,IR,1622315071,12,36.2126,57.6819,86.04,4.65
329,Kiryat Gat,0,IL,1622315071,100,31.61,34.7642,73.81,3.74
330,Esperance,100,AU,1622315071,84,-33.8667,121.9,64.22,19.28
331,Mayumba,32,GA,1622315072,90,-3.432,10.6554,77.23,5.82
332,Sisimiut,72,GL,1622315072,51,66.9395,-53.6735,46.8,14.25
333,Korla,100,CN,1622315073,31,41.7597,86.1469,76.03,20.58
334,Boysun,0,UZ,1622315073,30,38.2061,67.1986,74.53,5.21
335,Coos Bay,1,US,1622315073,66,43.3665,-124.2179,74.32,16.11
336,Kitaibaraki,100,JP,1622314874,74,36.7833,140.75,65.14,3.24
337,Shirokiy,100,RU,1622315074,97,49.758,129.523,49.48,3.13
338,Kayerkan,90,RU,1622315074,98,69.3497,87.7602,24.1,4.32
339,Ixtapa,88,MX,1622314922,43,20.7,-105.2,93.63,9.37
340,Shabo,15,UA,1622315074,74,46.1326,30.386,64.85,15.86
341,Batemans Bay,75,AU,1622314809,70,-35.7167,150.1833,51.01,3.0
342,Benjamín Aceval,100,PY,1622315075,75,-24.9667,-57.5667,72.07,11.81
343,Oodweyne,31,SO,1622315075,55,9.4092,45.064,76.48,14.34
344,Panguma,91,SL,1622315075,86,8.1833,-11.1333,77.29,3.06
345,Mocuba,0,MZ,1622315076,66,-16.8392,36.9856,65.19,3.42
346,Katsuura,99,JP,1622315076,92,35.1333,140.3,68.14,12.15
347,Chui,100,UY,1622315076,57,-33.6971,-53.4616,54.61,16.96
348,Shahr-e Kord,0,IR,1622315077,17,32.3256,50.8644,69.3,4.59
349,Arnoldstein,58,AT,1622315077,85,46.5461,13.71,54.79,2.46
350,Llallagua,100,BO,1622315077,25,-18.4167,-66.6333,52.0,14.92
351,Dudinka,33,RU,1622315077,98,69.4058,86.1778,11.43,2.66
352,Natal,3,BR,1622315078,67,-5.795,-35.2094,81.86,13.73
